News Pull,2022-10-10 09:00:16.000,2022-10-10 09:00:23.000
NewsDriver.ps1,2022-10-10 10:00:23.000,2022-10-10 10:00:31.000
News Pull,2022-10-10 10:00:25.000,2022-10-10 10:00:31.000
NewsDriver.ps1,2022-10-10 11:00:19.000,2022-10-10 11:00:27.000
News Pull,2022-10-10 11:00:20.000,2022-10-10 11:00:27.000
NewsDriver.ps1,2022-10-10 12:00:16.000,2022-10-10 12:00:26.000
News Pull,2022-10-10 12:00:18.000,2022-10-10 12:00:26.000
NewsDriver.ps1,2022-10-10 13:00:09.000,2022-10-10 13:00:15.000
News Pull,2022-10-10 13:00:09.000,2022-10-10 13:00:15.000
NewsDriver.ps1,2022-10-10 14:00:07.000,2022-10-10 14:00:13.000
News Pull,2022-10-10 14:00:07.000,2022-10-10 14:00:13.000
NewsDriver.ps1,2022-10-10 15:00:15.000,2022-10-10 15:00:23.000
News Pull,2022-10-10 15:00:16.000,2022-10-10 15:00:23.000
NewsDriver.ps1,2022-10-10 16:00:16.000,2022-10-10 16:00:29.000
News Pull,2022-10-10 16:00:16.000,2022-10-10 16:00:29.000
NewsDriver.ps1,2022-10-10 17:00:05.000,2022-10-10 17:00:12.000
News Pull,2022-10-10 17:00:05.000,2022-10-10 17:00:12.000
NewsDriver.ps1,2022-10-10 18:00:08.000,2022-10-10 18:00:17.000
News Pull,2022-10-10 18:00:11.000,2022-10-10 18:00:17.000
NewsDriver.ps1,2022-10-10 19:00:21.000,2022-10-10 19:00:29.000
News Pull,2022-10-10 19:00:22.000,2022-10-10 19:00:29.000
NewsDriver.ps1,2022-10-10 20:00:27.000,2022-10-10 20:00:39.000
News Pull,2022-10-10 20:00:29.000,2022-10-10 20:00:39.000
GetPersonnelPics.ps1,2022-10-10 21:30:15.000,2022-10-10 21:30:18.000
\Scheduled\Foundation\FoundationSync.ps1,2022-10-10 23:00:21.000,2022-10-11 00:17:31.000
NewsDriver.ps1,2022-10-11 06:00:03.000,2022-10-11 06:00:30.000
News Pull,2022-10-11 06:00:04.000,2022-10-11 06:00:30.000
NewsDriver.ps1,2022-10-11 07:00:05.000,2022-10-11 07:00:23.000
News Pull,2022-10-11 07:00:06.000,2022-10-11 07:00:23.000
NewsDriver.ps1,2022-10-11 08:00:22.000,2022-10-11 08:00:37.000
News Pull,2022-10-11 08:00:24.000,2022-10-11 08:00:37.000
NewsDriver.ps1,2022-10-11 09:00:26.000,2022-10-11 09:00:36.000
News Pull,2022-10-11 09:00:28.000,2022-10-11 09:00:36.000
NewsDriver.ps1,2022-10-11 10:00:04.000,2022-10-11 10:00:20.000
News Pull,2022-10-11 10:00:05.000,2022-10-11 10:00:20.000
NewsDriver.ps1,2022-10-11 11:00:27.000,2022-10-11 11:00:37.000
News Pull,2022-10-11 11:00:28.000,2022-10-11 11:00:37.000
NewsDriver.ps1,2022-10-11 12:00:20.000,2022-10-11 12:00:49.000
News Pull,2022-10-11 12:00:21.000,2022-10-11 12:00:48.000
NewsDriver.ps1,2022-10-11 13:00:04.000,2022-10-11 13:00:14.000
News Pull,2022-10-11 13:00:05.000,2022-10-11 13:00:14.000
NewsDriver.ps1,2022-10-11 14:00:22.000,2022-10-11 14:00:46.000
News Pull,2022-10-11 14:00:25.000,2022-10-11 14:00:46.000
NewsDriver.ps1,2022-10-11 15:00:05.000,2022-10-11 15:00:27.000
News Pull,2022-10-11 15:00:06.000,2022-10-11 15:00:27.000
NewsDriver.ps1,2022-10-11 16:00:22.000,2022-10-11 16:00:31.000
News Pull,2022-10-11 16:00:23.000,2022-10-11 16:00:31.000
NewsDriver.ps1,2022-10-11 17:05:12.000,2022-10-11 17:05:20.000
News Pull,2022-10-11 17:05:12.000,2022-10-11 17:05:20.000
NewsDriver.ps1,2022-10-11 18:00:25.000,2022-10-11 18:00:48.000
News Pull,2022-10-11 18:00:25.000,2022-10-11 18:00:48.000
NewsDriver.ps1,2022-10-11 19:00:17.000,2022-10-11 19:00:28.000
News Pull,2022-10-11 19:00:18.000,2022-10-11 19:00:28.000
NewsDriver.ps1,2022-10-11 20:00:24.000,2022-10-11 20:00:36.000
News Pull,2022-10-11 20:00:25.000,2022-10-11 20:00:36.000
GetPersonnelPics.ps1,2022-10-11 21:30:15.000,2022-10-11 21:30:19.000
\Scheduled\Foundation\FoundationSync.ps1,2022-10-11 23:00:19.000,2022-10-12 00:13:58.000
NewsDriver.ps1,2022-10-12 06:00:11.000,2022-10-12 06:01:08.000
News Pull,2022-10-12 06:00:14.000,2022-10-12 06:01:08.000
NewsDriver.ps1,2022-10-12 07:00:34.000,2022-10-12 07:01:02.000
News Pull,2022-10-12 07:00:35.000,2022-10-12 07:01:02.000
NewsDriver.ps1,2022-10-12 08:00:22.000,2022-10-12 08:00:35.000
News Pull,2022-10-12 08:00:25.000,2022-10-12 08:00:35.000
NewsDriver.ps1,2022-10-12 09:00:20.000,2022-10-12 09:00:32.000
News Pull,2022-10-12 09:00:22.000,2022-10-12 09:00:32.000
NewsDriver.ps1,2022-10-12 10:00:28.000,2022-10-12 10:00:42.000
